steer_dim,player_name,Achievement,Achievement:scstd,Aesthetic,Aesthetic:scstd,Anxiety Disorder,Anxiety Disorder:scstd,Breadth of Interest,Breadth of Interest:scstd,Economic,Economic:scstd,Empathy,Empathy:scstd,Organization,Organization:scstd,Political,Political:scstd,Positive coping,Positive coping:scstd,Religious,Religious:scstd,Resilience,Resilience:scstd,Social,Social:scstd,Social Complexity,Social Complexity:scstd,Social Cynicism,Social Cynicism:scstd,Theoretical,Theoretical:scstd,Uncertainty Avoidance,Uncertainty Avoidance:scstd,Understanding,Understanding:scstd,stds,scstds
,Jaclyn Charles,0.6666666666666666,-1,0.6666666666666666,-1,-0.3333333333333333,-1,0.6666666666666666,-1,0.3333333333333333,-1,0.75,-1,1.0,-1,-0.6666666666666666,-1,0.0,-1,0.6666666666666666,-1,0.7142857142857143,-1,0.3333333333333333,-1,1.0,-1,-1.0,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,0.612188888955036,
63905,Jaclyn Charles,0.3333333333333333,-1,0.3333333333333333,-1,-0.6666666666666666,-1,0.3333333333333333,-1,0.6666666666666666,-1,0.75,-1,0.6666666666666666,-1,-0.5,1.699673171197595,0.0,2.0,0.3333333333333333,-1,0.7142857142857143,-1,0.5,1.5,1.0,-1,-0.6666666666666666,-1,0.3333333333333333,-1,-1.0,-1,1.0,-1,0.6814286146795233,1.7332243903991984
48321,Jaclyn Charles,0.3333333333333333,-1,0.3333333333333333,-1,-1.0,0.0,0.6666666666666666,-1,0.3333333333333333,-1,0.5,-1,0.6666666666666666,-1,-1.0,-1,0.5,0.0,0.3333333333333333,-1,0.7142857142857143,-1,0.16666666666666666,1.699673171197595,1.0,-1,-1.0,-1,0.3333333333333333,-1,0.16666666666666666,0.4714045207910317,1.0,-1,0.6136304204949601,0.5427694229971567
1897,Jaclyn Charles,0.6666666666666666,-1,0.6666666666666666,-1,-0.3333333333333333,-1,0.6666666666666666,-1,0.3333333333333333,-1,0.75,-1,1.0,-1,-0.6666666666666666,-1,0.25,-1,0.6666666666666666,-1,0.7142857142857143,-1,0.3333333333333333,-1,1.0,-1,-1.0,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,0.610320996987498,
2509,Jaclyn Charles,0.6666666666666666,-1,-0.3333333333333333,0.0,-0.6666666666666666,-1,1.0,-1,0.3333333333333333,-1,0.75,-1,1.0,-1,-0.6666666666666666,-1,0.0,2.0,0.6666666666666666,2.0,0.42857142857142855,-1,0.0,-1,1.0,-1,-1.0,-1,0.3333333333333333,-1,-0.6666666666666666,-1,1.0,-1,0.5953031069363082,1.3333333333333333
60312,Jaclyn Charles,0.3333333333333333,-1,0.3333333333333333,-1,-0.16666666666666666,1.699673171197595,0.3333333333333333,-1,0.3333333333333333,-1,0.75,-1,0.6666666666666666,-1,-0.5,1.5,0.25,-1,-0.16666666666666666,1.5491933384829668,0.7142857142857143,-1,0.6666666666666666,-1,1.0,-1,-1.0,-1,0.6666666666666666,2.0,-0.5,1.699673171197595,1.0,-1,0.6858483639843094,1.6897079361756315
7754,Jaclyn Charles,0.0,0.7453559924999298,-0.3333333333333333,1.0,0.0,0.9428090415820634,0.0,0.7453559924999298,0.0,0.9428090415820634,0.0,0.6614378277661477,0.0,0.0,0.0,0.7453559924999298,-0.125,1.165922381636102,0.0,0.7453559924999298,-0.14285714285714285,0.832993127835043,-0.16666666666666666,1.118033988749895,0.14285714285714285,0.0,0.0,0.0,0.16666666666666666,0.8,-0.16666666666666666,0.8,-0.16666666666666666,0.3726779962499649,0.17604056658221948,0.6834180809059411
49202,Jaclyn Charles,0.6666666666666666,-1,0.3333333333333333,-1,0.0,-1,0.6666666666666666,-1,0.3333333333333333,-1,0.75,-1,1.0,-1,-0.3333333333333333,-1,0.5,0.0,0.6666666666666666,-1,0.7142857142857143,-1,0.0,-1,1.0,-1,-0.8333333333333334,-1,0.6666666666666666,-1,-1.0,-1,1.0,-1,0.6123439138100133,0.0
2246,Jaclyn Charles,0.3333333333333333,-1,-0.3333333333333333,0.0,-0.3333333333333333,-1,0.6666666666666666,-1,0.3333333333333333,-1,0.75,-1,1.0,-1,-1.0,-1,0.0,2.0,0.6666666666666666,-1,0.7142857142857143,-1,0.16666666666666666,-1,1.0,-1,-1.0,-1,0.5,-1,-0.6666666666666666,-1,1.0,-1,0.5899933098529224,1.0
13033,Jaclyn Charles,0.3333333333333333,0.0,-0.16666666666666666,0.4714045207910317,-0.5,1.699673171197595,0.5,-1,0.0,0.0,0.625,1.5,0.3333333333333333,0.4714045207910317,-0.3333333333333333,1.247219128924647,0.25,1.8856180831641267,0.6666666666666666,1.4142135623730951,0.5714285714285714,-1,0.16666666666666666,-1,0.2857142857142857,0.4714045207910317,-0.6666666666666666,0.0,0.16666666666666666,0.5,-0.6666666666666666,1.4142135623730951,0.6666666666666666,0.0,0.731268740567873,0.7910822193146896
58305,Jaclyn Charles,0.6666666666666666,-1,0.3333333333333333,-1,-0.3333333333333333,-1,0.6666666666666666,-1,0.3333333333333333,-1,0.75,-1,0.6666666666666666,-1,-0.6666666666666666,-1,0.25,-1,0.3333333333333333,-1,0.7142857142857143,-1,-0.16666666666666666,0.5,1.0,-1,-0.8333333333333334,-1,0.6666666666666666,-1,-1.0,-1,1.0,-1,0.6528093805573756,0.5
41929,Jaclyn Charles,0.6666666666666666,-1,0.3333333333333333,-1,-0.3333333333333333,-1,0.6666666666666666,-1,0.3333333333333333,-1,0.75,-1,0.6666666666666666,-1,-0.3333333333333333,-1,0.0,2.0,0.3333333333333333,-1,0.7142857142857143,-1,0.3333333333333333,2.0,1.0,-1,-1.0,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,0.6908780148224671,2.0
20141,Jaclyn Charles,0.6666666666666666,-1,0.3333333333333333,-1,-1.0,0.0,0.6666666666666666,-1,0.16666666666666666,-1,0.75,-1,1.0,-1,-0.3333333333333333,-1,0.25,-1,0.3333333333333333,-1,0.7142857142857143,-1,0.3333333333333333,2.0,1.0,-1,-0.6666666666666666,-1,0.3333333333333333,-1,-0.6666666666666666,-1,1.0,-1,0.6425020307239738,1.0
12477,Jaclyn Charles,0.6666666666666666,-1,0.6666666666666666,-1,-0.3333333333333333,-1,0.6666666666666666,-1,0.3333333333333333,-1,0.75,-1,1.0,-1,-0.6666666666666666,-1,0.0,2.0,0.3333333333333333,-1,0.7142857142857143,-1,0.3333333333333333,-1,1.0,-1,-1.0,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,0.6238037741951614,2.0
54606,Jaclyn Charles,0.3333333333333333,-1,0.3333333333333333,-1,0.0,-1,0.6666666666666666,-1,0.6666666666666666,-1,1.0,-1,0.6666666666666666,-1,-0.6666666666666666,-1,0.25,-1,0.6666666666666666,-1,0.7142857142857143,-1,0.3333333333333333,-1,1.0,-1,-0.8333333333333334,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,0.6521586539571343,
21347,Jaclyn Charles,0.6666666666666666,-1,0.6666666666666666,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,0.75,-1,1.0,-1,-0.6666666666666666,-1,-0.25,-1,0.3333333333333333,-1,0.7142857142857143,-1,0.16666666666666666,-1,1.0,-1,-1.0,-1,0.6666666666666666,-1,-1.0,-1,1.0,-1,0.5638129048565426,
4305,Jaclyn Charles,0.3333333333333333,-1,-0.3333333333333333,0.0,0.0,-1,0.6666666666666666,-1,0.5,-1,0.75,-1,1.0,-1,-0.8333333333333334,-1,0.25,-1,0.3333333333333333,-1,0.7142857142857143,-1,0.3333333333333333,2.0,0.7142857142857143,-1,-1.0,-1,0.5,1.5,-0.6666666666666666,2.0,1.0,-1,0.6583260863526799,1.375
30919,Jaclyn Charles,0.0,0.0,-0.3333333333333333,0.0,0.0,-1,0.3333333333333333,-1,0.3333333333333333,-1,0.75,-1,0.5,0.5,-0.6666666666666666,-1,0.25,-1,0.3333333333333333,-1,0.7142857142857143,-1,0.0,-1,0.8571428571428571,-1,-1.0,-1,0.5,1.5,-0.3333333333333333,1.8856180831641267,1.0,-1,0.7450818479244613,0.7771236166328254
34598,Jaclyn Charles,0.6666666666666666,-1,0.6666666666666666,-1,-0.3333333333333333,-1,0.3333333333333333,-1,0.3333333333333333,-1,0.75,-1,0.6666666666666666,-1,-0.6666666666666666,-1,-0.25,-1,0.6666666666666666,-1,0.7142857142857143,-1,-0.16666666666666666,0.5,1.0,-1,-1.0,-1,0.6666666666666666,-1,-0.5,-1,1.0,-1,0.6641994729393683,0.5
51010,Jaclyn Charles,0.3333333333333333,-1,0.3333333333333333,-1,0.0,-1,0.6666666666666666,-1,0.3333333333333333,-1,0.75,-1,1.0,-1,-0.6666666666666666,-1,0.0,-1,0.3333333333333333,-1,0.7142857142857143,-1,0.16666666666666666,-1,1.0,-1,-1.0,-1,0.6666666666666666,-1,-0.3333333333333333,-1,1.0,-1,0.6593489819562217,
62769,Jaclyn Charles,0.0,0.0,0.3333333333333333,0.0,0.0,-1,0.6666666666666666,-1,0.16666666666666666,-1,0.5,-1,1.0,-1,-0.5,1.5,0.5,0.0,-0.16666666666666666,0.0,0.7142857142857143,-1,0.3333333333333333,1.0,1.0,-1,-1.0,-1,0.6666666666666666,-1,0.0,0.4714045207910317,1.0,-1,0.5876377752319341,0.42448636011300456
47207,Jaclyn Charles,0.3333333333333333,-1,0.0,0.0,0.0,-1,0.3333333333333333,-1,0.3333333333333333,-1,0.5,-1,0.6666666666666666,-1,-1.0,-1,0.0,2.0,0.3333333333333333,-1,0.42857142857142855,-1,0.0,1.8856180831641267,0.7142857142857143,-1,-1.0,-1,0.6666666666666666,2.0,-0.3333333333333333,-1,1.0,-1,0.7455379242249196,1.4714045207910318
8035,Jaclyn Charles,0.6666666666666666,-1,0.6666666666666666,-1,-0.3333333333333333,-1,0.6666666666666666,-1,0.6666666666666666,-1,0.75,-1,1.0,-1,-0.6666666666666666,-1,0.0,-1,0.6666666666666666,-1,0.7142857142857143,-1,0.16666666666666666,-1,1.0,-1,-1.0,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,0.5979103817310097,
8546,Jaclyn Charles,0.3333333333333333,-1,0.3333333333333333,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,0.75,-1,0.6666666666666666,-1,-0.6666666666666666,-1,0.5,0.0,0.0,0.0,0.7142857142857143,-1,0.0,-1,1.0,-1,-1.0,-1,0.6666666666666666,-1,0.0,0.0,1.0,-1,0.6930896782953053,0.0
9332,Jaclyn Charles,0.6666666666666666,-1,0.3333333333333333,-1,-0.16666666666666666,1.699673171197595,0.6666666666666666,-1,0.3333333333333333,-1,0.625,-1,0.5,0.5,-0.6666666666666666,-1,0.625,0.4714045207910317,0.6666666666666666,-1,0.7142857142857143,-1,0.5,1.5,0.5714285714285714,0.5,0.0,0.4,0.8333333333333334,1.5,0.16666666666666666,0.4714045207910317,1.0,-1,0.7035221851754612,0.8803102765974573
,Ashlee Carr,0.6666666666666666,-1,0.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.0,-1,0.75,-1,1.0,-1,0.3333333333333333,-1,0.5,-1,0.0,-1,1.0,-1,0.3333333333333333,-1,0.7142857142857143,-1,-0.6666666666666666,-1,1.0,-1,-0.6666666666666666,-1,1.0,-1,0.6376303229081252,
63905,Ashlee Carr,0.0,0.0,-0.16666666666666666,-1,-1.0,-1,0.3333333333333333,-1,0.3333333333333333,-1,0.75,-1,1.0,-1,0.0,-1,0.5,-1,0.0,-1,0.7142857142857143,-1,0.6666666666666666,-1,0.42857142857142855,-1,-0.3333333333333333,-1,0.6666666666666666,-1,0.6666666666666666,0.0,1.0,-1,0.7113439951047844,0.0
48321,Ashlee Carr,0.3333333333333333,-1,0.3333333333333333,-1,-1.0,-1,1.0,-1,0.0,2.0,0.75,-1,1.0,-1,0.0,1.8856180831641267,0.5,-1,0.0,-1,0.7142857142857143,-1,0.3333333333333333,-1,1.0,-1,-0.6666666666666666,2.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,-1,0.6170156232413214,1.1771236166328254
1897,Ashlee Carr,0.3333333333333333,-1,0.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.0,-1,0.75,-1,1.0,-1,0.0,-1,0.5,-1,0.0,-1,1.0,-1,0.3333333333333333,-1,0.7142857142857143,-1,-0.6666666666666666,-1,1.0,-1,-0.6666666666666666,-1,1.0,-1,0.6526093821728352,
2509,Ashlee Carr,1.0,-1,0.0,-1,-0.6666666666666666,-1,1.0,-1,0.0,-1,0.75,-1,1.0,-1,0.0,-1,0.5,-1,0.3333333333333333,-1,1.0,-1,0.3333333333333333,-1,0.7142857142857143,-1,-1.0,-1,0.6666666666666666,-1,-0.3333333333333333,-1,1.0,-1,0.5615562678541411,
60312,Ashlee Carr,0.3333333333333333,-1,0.16666666666666666,-1,-1.0,-1,0.6666666666666666,2.0,0.3333333333333333,-1,0.875,1.5,1.0,-1,0.0,-1,0.75,-1,0.16666666666666666,1.699673171197595,1.0,-1,0.3333333333333333,-1,0.8571428571428571,-1,-0.3333333333333333,1.8856180831641267,0.3333333333333333,0.0,-0.6666666666666666,-1,1.0,-1,0.6083468221401637,1.4170582508723446
7754,Ashlee Carr,0.0,0.7453559924999298,-0.16666666666666666,0.9797958971132713,0.0,0.7453559924999298,0.0,0.7453559924999298,0.0,1.0,0.0,0.6614378277661477,0.0,0.0,0.0,0.9428090415820634,0.0,0.8660254037844386,0.0,1.0,0.0,0.0,-0.16666666666666666,1.118033988749895,0.0,0.6998542122237652,0.0,0.7453559924999298,0.0,0.0,0.0,0.7453559924999298,0.0,0.0,0.043844470147054705,0.6467491961011311
49202,Ashlee Carr,0.3333333333333333,-1,0.16666666666666666,1.5,-1.0,-1,0.6666666666666666,-1,-0.3333333333333333,-1,0.5,-1,1.0,-1,0.3333333333333333,-1,0.5,-1,0.3333333333333333,-1,1.0,-1,0.6666666666666666,-1,1.0,-1,-0.3333333333333333,-1,1.0,-1,-0.6666666666666666,-1,1.0,-1,0.5635112624020432,1.5
2246,Ashlee Carr,0.3333333333333333,-1,-0.3333333333333333,-1,-1.0,-1,1.0,-1,-0.3333333333333333,-1,0.75,-1,1.0,-1,-0.3333333333333333,0.0,0.75,-1,0.0,-1,0.7142857142857143,-1,0.0,-1,0.42857142857142855,-1,-0.6666666666666666,-1,0.8333333333333334,-1,-0.3333333333333333,-1,1.0,-1,0.6328421745483249,0.0
13033,Ashlee Carr,0.5,-1,0.0,1.0,-0.6666666666666666,-1,0.8333333333333334,-1,0.0,-1,0.125,0.4714045207910317,0.6666666666666666,0.0,-0.3333333333333333,0.9797958971132712,0.375,0.9428090415820634,-0.3333333333333333,-1,1.0,-1,0.0,-1,0.8571428571428571,1.5,-0.5,0.9428090415820634,0.16666666666666666,0.4714045207910317,0.0,0.7453559924999298,0.6666666666666666,-1,0.6293951289044702,0.7837310015954879
58305,Ashlee Carr,0.3333333333333333,-1,0.0,-1,-1.0,-1,1.0,-1,0.0,-1,0.75,-1,1.0,-1,0.0,-1,0.5,-1,0.0,-1,1.0,-1,0.3333333333333333,-1,0.7142857142857143,-1,-0.6666666666666666,-1,1.0,-1,-0.3333333333333333,-1,1.0,-1,0.5765353271188514,
41929,Ashlee Carr,0.0,0.0,0.0,-1,-1.0,-1,1.0,-1,0.0,-1,0.5,-1,1.0,-1,-0.3333333333333333,0.0,0.5,-1,0.0,-1,1.0,-1,0.6666666666666666,-1,0.42857142857142855,-1,-0.3333333333333333,-1,1.0,-1,-0.3333333333333333,-1,1.0,-1,0.6005495192776616,0.0
20141,Ashlee Carr,0.16666666666666666,0.5,-0.3333333333333333,-1,-0.6666666666666666,-1,0.6666666666666666,2.0,0.0,1.0,0.5,-1,0.8333333333333334,-1,-0.3333333333333333,0.0,0.375,-1,0.16666666666666666,-1,1.0,-1,0.3333333333333333,-1,0.42857142857142855,-1,-0.6666666666666666,2.0,0.6666666666666666,-1,0.0,0.0,1.0,-1,0.730621808198525,0.9166666666666666
12477,Ashlee Carr,0.6666666666666666,-1,0.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.0,-1,0.75,-1,1.0,-1,0.0,-1,0.5,-1,0.0,-1,1.0,-1,0.3333333333333333,-1,0.7142857142857143,-1,-0.6666666666666666,-1,1.0,-1,-0.6666666666666666,-1,1.0,-1,0.6409944969327097,
54606,Ashlee Carr,0.3333333333333333,-1,0.3333333333333333,-1,-0.6666666666666666,-1,1.0,-1,0.0,-1,0.75,-1,1.0,-1,0.0,-1,0.5,-1,0.0,-1,1.0,-1,0.3333333333333333,-1,0.42857142857142855,-1,-0.6666666666666666,-1,1.0,-1,-0.6666666666666666,2.0,1.0,-1,0.6173803668648128,2.0
21347,Ashlee Carr,0.3333333333333333,-1,0.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.0,-1,0.75,-1,1.0,-1,0.0,-1,0.5,-1,0.0,-1,1.0,-1,0.6666666666666666,-1,0.7142857142857143,-1,-0.6666666666666666,-1,1.0,-1,-0.3333333333333333,-1,1.0,-1,0.6526093821728352,
4305,Ashlee Carr,0.3333333333333333,-1,0.0,-1,-1.0,-1,0.6666666666666666,2.0,0.0,-1,0.75,-1,1.0,-1,-0.3333333333333333,0.0,0.75,-1,-0.5,1.4142135623730951,0.7142857142857143,-1,0.3333333333333333,2.0,0.7142857142857143,2.0,-1.0,-1,0.5,0.5,0.0,0.0,1.0,-1,0.636699554639876,1.1306019374818708
30919,Ashlee Carr,0.6666666666666666,-1,-0.16666666666666666,-1,-0.6666666666666666,-1,0.6666666666666666,2.0,0.0,-1,0.75,-1,1.0,-1,-0.16666666666666666,0.5,0.5,-1,0.16666666666666666,1.5,1.0,-1,0.3333333333333333,1.4142135623730951,1.0,-1,-0.6666666666666666,2.0,0.3333333333333333,0.0,0.3333333333333333,0.5,1.0,-1,0.6255876842176165,1.1306019374818708
34598,Ashlee Carr,0.6666666666666666,-1,0.3333333333333333,-1,-1.0,-1,0.6666666666666666,-1,0.0,-1,0.75,-1,1.0,-1,-0.3333333333333333,0.0,0.5,-1,0.0,-1,1.0,-1,0.3333333333333333,-1,0.7142857142857143,-1,-0.6666666666666666,-1,1.0,-1,-0.6666666666666666,2.0,1.0,-1,0.5904216787364859,1.0
51010,Ashlee Carr,0.3333333333333333,-1,0.0,-1,-0.6666666666666666,-1,0.3333333333333333,-1,0.0,-1,0.75,-1,1.0,-1,-0.3333333333333333,0.0,0.5,-1,0.0,-1,1.0,-1,0.3333333333333333,2.0,0.42857142857142855,-1,-0.3333333333333333,-1,1.0,-1,-0.3333333333333333,-1,1.0,-1,0.6960694927322439,1.0
62769,Ashlee Carr,0.16666666666666666,0.5,-0.3333333333333333,0.0,-0.6666666666666666,-1,0.5,-1,0.16666666666666666,0.9428090415820634,0.625,-1,0.8333333333333334,-1,0.16666666666666666,0.9428090415820634,0.375,-1,0.16666666666666666,1.299038105676658,0.8571428571428571,-1,0.3333333333333333,-1,0.5714285714285714,-1,-0.6666666666666666,-1,0.8333333333333334,-1,0.0,0.4714045207910317,1.0,-1,0.6526387249765007,0.692676784938636
47207,Ashlee Carr,0.3333333333333333,1.8856180831641267,-0.3333333333333333,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.0,-1,0.5,-1,1.0,-1,0.0,-1,0.25,1.8856180831641267,-0.3333333333333333,-1,0.7142857142857143,-1,0.3333333333333333,-1,0.42857142857142855,-1,-1.0,-1,0.6666666666666666,-1,0.3333333333333333,0.0,1.0,-1,0.7286909729926715,1.2570787221094177
8035,Ashlee Carr,0.6666666666666666,-1,0.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.0,-1,0.75,-1,1.0,-1,0.0,-1,0.5,-1,0.0,-1,1.0,-1,0.3333333333333333,-1,0.7142857142857143,-1,-0.6666666666666666,-1,1.0,-1,-0.3333333333333333,-1,1.0,-1,0.6526093821728352,
8546,Ashlee Carr,0.6666666666666666,-1,0.0,-1,-1.0,-1,0.6666666666666666,-1,0.3333333333333333,-1,0.75,-1,1.0,-1,0.0,-1,0.5,-1,0.0,-1,1.0,-1,0.3333333333333333,-1,0.14285714285714285,0.0,-0.6666666666666666,-1,1.0,-1,-0.3333333333333333,-1,1.0,-1,0.6224530383769031,0.0
