steer_dim,player_name,Assertiveness,Assertiveness:scstd,Breadth of Interest,Breadth of Interest:scstd,Empathy,Empathy:scstd,Extraversion,Extraversion:scstd,Nurturance,Nurturance:scstd,Preference for Order and Structure,Preference for Order and Structure:scstd,Sociability,Sociability:scstd,Social,Social:scstd,Sympathy,Sympathy:scstd,Tenderness,Tenderness:scstd,Theoretical,Theoretical:scstd,Understanding,Understanding:scstd,stds,scstds
,,0.16666666666666666,-1,0.8333333333333334,-1,0.3333333333333333,-1,0.0,-1,0.2,-1,0.14285714285714285,-1,1.0,-1,0.6470588235294118,-1,0.5555555555555556,-1,0.7777777777777778,-1,0.8947368421052632,-1,0.625,-1,0.7369682302755108,
10096,,-0.16666666666666666,0.0,0.6666666666666666,-1,0.3333333333333333,-1,-0.5555555555555556,0.4714045207910317,0.0,1.8856180831641267,0.14285714285714285,-1,1.0,-1,0.8823529411764706,0.0,0.5555555555555556,-1,1.0,-1,1.0,-1,0.625,-1,0.6315077894613469,0.5892556509887896
8387,,0.16666666666666666,2.0,0.8333333333333334,-1,0.5555555555555556,1.7320508075688772,-0.2222222222222222,-1,-0.2,0.0,0.42857142857142855,0.0,1.0,-1,0.7058823529411765,-1,1.0,0.0,0.5555555555555556,-1,0.6842105263157895,0.0,0.5,-1,0.6885095539773479,0.6220084679281462
2221,,0.3333333333333333,-1,0.8333333333333334,-1,0.4444444444444444,-1,0.0,-1,0.0,-1,0.2857142857142857,-1,1.0,-1,0.6470588235294118,-1,0.7777777777777778,-1,0.7777777777777778,-1,0.8947368421052632,-1,0.625,-1,0.7116039546789951,
1312,,0.3333333333333333,0.0,0.8333333333333334,-1,0.4444444444444444,-1,-0.1111111111111111,1.5,0.2,-1,0.7142857142857143,0.0,1.0,-1,0.7647058823529411,-1,0.7777777777777778,-1,1.0,-1,0.8947368421052632,-1,0.5,-1,0.6198743061984141,0.5
7502,,0.5,0.0,0.8333333333333334,-1,0.4444444444444444,-1,0.0,-1,0.2,-1,0.5714285714285714,0.0,1.0,-1,0.6470588235294118,-1,0.7777777777777778,-1,1.0,-1,0.8947368421052632,-1,0.625,-1,0.6396714427964382,0.0
14049,,0.3333333333333333,-1,0.8333333333333334,-1,0.4444444444444444,-1,0.0,-1,0.4,-1,0.42857142857142855,0.0,1.0,-1,0.7647058823529411,-1,0.7777777777777778,-1,1.0,-1,0.8947368421052632,-1,0.5,-1,0.6449796950605493,0.0
3183,,0.08333333333333333,1.299038105676658,0.8333333333333334,2.0,0.2777777777777778,1.8330302779823362,-0.2222222222222222,1.5,0.0,-1,0.14285714285714285,-1,1.0,-1,0.8235294117647058,1.4142135623730951,0.4444444444444444,1.699673171197595,0.6666666666666666,-1,0.6842105263157895,1.247219128924647,0.5,-1,0.7137765347074742,1.5704534637363332
6619,,0.16666666666666666,2.0,0.8333333333333334,-1,0.2222222222222222,1.8856180831641267,0.0,-1,0.4,-1,0.14285714285714285,2.0,0.8333333333333334,-1,0.7647058823529411,-1,0.7777777777777778,-1,0.7777777777777778,-1,0.6842105263157895,0.0,0.625,-1,0.7772488281731973,1.4714045207910318
1341,,0.16666666666666666,2.0,0.8333333333333334,-1,0.2222222222222222,-1,-0.2222222222222222,-1,0.0,-1,0.0,-1,1.0,-1,0.7647058823529411,-1,0.5555555555555556,-1,0.5555555555555556,-1,0.7894736842105263,-1,0.5,-1,0.768097830412775,2.0
6884,,0.3333333333333333,-1,0.8333333333333334,-1,0.2222222222222222,-1,0.0,-1,0.2,-1,0.5714285714285714,0.0,0.8333333333333334,-1,0.6470588235294118,-1,0.5555555555555556,-1,1.0,-1,0.8947368421052632,-1,0.625,-1,0.7156451195451493,0.0
12703,,0.25,-1,0.8333333333333334,-1,0.2222222222222222,-1,0.0,-1,0.4,-1,0.42857142857142855,0.0,1.0,-1,0.6470588235294118,-1,0.5555555555555556,-1,1.0,-1,0.8947368421052632,-1,0.625,-1,0.6696623590196781,0.0
11712,,0.3333333333333333,-1,0.8333333333333334,-1,0.3333333333333333,-1,0.1111111111111111,-1,0.0,-1,0.14285714285714285,-1,1.0,-1,0.6470588235294118,-1,0.5555555555555556,-1,0.7777777777777778,-1,0.8947368421052632,-1,0.625,-1,0.7393014632507914,
14185,,0.3333333333333333,-1,0.6666666666666666,-1,0.2222222222222222,1.9595917942265426,0.1111111111111111,-1,0.2,-1,0.14285714285714285,-1,0.8333333333333334,-1,0.7647058823529411,-1,1.0,0.0,0.5555555555555556,-1,0.7894736842105263,-1,0.375,0.0,0.7663289334011424,0.6531972647421809
10454,,0.3333333333333333,-1,0.8333333333333334,-1,0.2222222222222222,1.8856180831641267,0.0,-1,0.4,-1,0.42857142857142855,0.0,0.8333333333333334,-1,0.6470588235294118,-1,0.7777777777777778,-1,1.0,-1,0.8947368421052632,-1,0.625,-1,0.7003647262040217,0.9428090415820634
6216,,0.25,-1,0.8333333333333334,-1,0.4444444444444444,-1,0.0,-1,0.4,-1,0.2857142857142857,-1,1.0,-1,0.7058823529411765,-1,0.5555555555555556,-1,1.0,-1,0.8947368421052632,-1,0.5,-1,0.6666698718941678,
1975,,0.16666666666666666,-1,0.6666666666666666,-1,0.2222222222222222,1.8856180831641267,0.0,-1,0.0,-1,0.0,-1,0.8333333333333334,-1,0.7647058823529411,-1,0.7777777777777778,-1,0.5555555555555556,-1,0.7894736842105263,-1,0.5,-1,0.8155127705187669,1.8856180831641267
