steer_dim,player_name,Assertiveness,Assertiveness:scstd,Breadth of Interest,Breadth of Interest:scstd,Empathy,Empathy:scstd,Extraversion,Extraversion:scstd,Nurturance,Nurturance:scstd,Preference for Order and Structure,Preference for Order and Structure:scstd,Sociability,Sociability:scstd,Social,Social:scstd,Sympathy,Sympathy:scstd,Tenderness,Tenderness:scstd,Theoretical,Theoretical:scstd,Understanding,Understanding:scstd,stds,scstds
,Carly Rosales,0.16666666666666666,-1,0.8333333333333334,-1,0.4444444444444444,-1,0.2222222222222222,-1,0.0,-1,0.42857142857142855,-1,0.8333333333333334,-1,0.8823529411764706,-1,0.5555555555555556,-1,1.0,-1,0.47368421052631576,-1,0.5,-1,0.7379918942556115,
10096,Carly Rosales,0.0,1.8856180831641267,1.0,-1,0.3333333333333333,-1,0.2222222222222222,-1,0.0,2.0,0.42857142857142855,-1,0.6666666666666666,1.8856180831641267,0.8823529411764706,-1,0.5555555555555556,-1,0.3333333333333333,0.0,0.7894736842105263,0.0,0.625,-1,0.7622670406259785,1.1542472332656506
8387,Carly Rosales,-0.16666666666666666,1.7320508075688772,0.6666666666666666,-1,0.5555555555555556,-1,-0.2222222222222222,0.0,-0.2,1.8856180831641267,0.5714285714285714,-1,1.0,-1,0.8823529411764706,-1,0.7777777777777778,-1,0.7777777777777778,-1,0.3157894736842105,1.8856180831641267,0.375,1.8856180831641267,0.7379092075479691,1.4777810114122516
2221,Carly Rosales,0.0,1.8856180831641267,0.5,0.0,0.16666666666666666,0.0,0.2222222222222222,-1,0.0,2.0,0.2857142857142857,1.8856180831641267,0.8333333333333334,-1,0.7647058823529411,-1,0.5555555555555556,2.0,1.0,-1,0.47368421052631576,-1,0.375,-1,0.7945301938646304,1.2952060277213755
1312,Carly Rosales,0.08333333333333333,2.0,0.5833333333333334,-1,0.16666666666666666,0.0,0.2222222222222222,2.0,-0.4,0.0,0.42857142857142855,2.0,0.8333333333333334,-1,0.7647058823529411,-1,0.5555555555555556,2.0,1.0,-1,0.5789473684210527,-1,0.375,-1,0.7648093050546905,1.3333333333333333
7502,Carly Rosales,0.0,1.8856180831641267,0.6666666666666666,-1,0.3888888888888889,-1,0.2222222222222222,-1,-0.2,1.8856180831641267,0.2857142857142857,1.8856180831641267,0.8333333333333334,-1,0.7647058823529411,-1,0.7777777777777778,-1,1.0,-1,0.47368421052631576,-1,0.5,-1,0.7552287955832818,1.8856180831641265
14049,Carly Rosales,-0.3333333333333333,1.6,0.6666666666666666,-1,0.3333333333333333,1.8856180831641267,0.2222222222222222,-1,0.4,1.7320508075688772,0.2857142857142857,1.8856180831641267,0.8333333333333334,-1,0.8823529411764706,-1,0.7777777777777778,1.8856180831641267,1.0,-1,0.6842105263157895,0.0,0.5625,-1,0.7159439762784127,1.498150842843543
3183,Carly Rosales,0.5,1.7320508075688772,0.6666666666666666,-1,0.16666666666666666,1.6000000000000003,0.1111111111111111,-1,0.2,-1,0.35714285714285715,-1,0.4166666666666667,0.0,0.6470588235294118,-1,0.1111111111111111,0.0,0.7777777777777778,-1,0.5789473684210527,2.0,0.3125,-1,0.8133826120514841,1.0664101615137755
6619,Carly Rosales,0.16666666666666666,2.0,0.6666666666666666,-1,0.2222222222222222,0.0,0.4444444444444444,-1,0.4,1.7320508075688772,0.5714285714285714,-1,0.8333333333333334,-1,0.8823529411764706,-1,0.7777777777777778,-1,1.0,-1,0.5789473684210527,-1,0.375,-1,0.7224416515223927,1.2440169358562925
1341,Carly Rosales,0.16666666666666666,2.0,0.6666666666666666,-1,0.2222222222222222,0.0,0.4444444444444444,-1,-0.2,-1,0.14285714285714285,0.0,0.8333333333333334,-1,0.7647058823529411,-1,0.3333333333333333,-1,0.7777777777777778,-1,0.5789473684210527,-1,0.625,-1,0.8226560260809951,0.6666666666666666
6884,Carly Rosales,0.16666666666666666,2.0,0.6666666666666666,-1,0.2777777777777778,-1,0.4444444444444444,-1,0.0,2.0,0.5714285714285714,1.9595917942265426,0.8333333333333334,-1,0.7647058823529411,-1,0.7777777777777778,-1,1.0,-1,0.47368421052631576,-1,0.625,-1,0.7334825400795376,1.9865305980755144
12703,Carly Rosales,0.16666666666666666,2.0,0.5833333333333334,-1,0.16666666666666666,0.0,0.1111111111111111,-1,-0.4,0.0,0.2857142857142857,1.8856180831641267,0.8333333333333334,-1,0.8823529411764706,-1,0.7777777777777778,-1,1.0,-1,0.47368421052631576,-1,0.375,-1,0.7352912578787786,0.9714045207910317
11712,Carly Rosales,0.3333333333333333,1.8856180831641267,0.6666666666666666,-1,0.3888888888888889,-1,0.4444444444444444,-1,-0.2,-1,0.14285714285714285,0.0,0.8333333333333334,-1,0.8823529411764706,-1,0.5555555555555556,-1,0.7777777777777778,-1,0.2631578947368421,0.0,0.375,-1,0.8129135316473617,0.6285393610547089
14185,Carly Rosales,0.16666666666666666,2.0,0.8333333333333334,-1,0.2777777777777778,-1,0.2222222222222222,-1,-0.2,-1,0.14285714285714285,0.0,0.75,-1,0.8823529411764706,-1,0.2222222222222222,-1,0.7777777777777778,-1,0.47368421052631576,-1,0.5,-1,0.8094218594152846,1.0
10454,Carly Rosales,0.3333333333333333,1.8856180831641267,0.6666666666666666,-1,0.2777777777777778,-1,0.2222222222222222,-1,0.0,2.0,0.2857142857142857,1.8856180831641267,0.8333333333333334,-1,0.7647058823529411,-1,0.7777777777777778,-1,1.0,-1,0.47368421052631576,-1,0.5,-1,0.7555346829573423,1.9237453887760845
