steer_dim,player_name,Achievement,Achievement:scstd,Aesthetic,Aesthetic:scstd,Anxiety Disorder,Anxiety Disorder:scstd,Breadth of Interest,Breadth of Interest:scstd,Economic,Economic:scstd,Empathy,Empathy:scstd,Organization,Organization:scstd,Political,Political:scstd,Positive coping,Positive coping:scstd,Religious,Religious:scstd,Resilience,Resilience:scstd,Social,Social:scstd,Social Complexity,Social Complexity:scstd,Social Cynicism,Social Cynicism:scstd,Theoretical,Theoretical:scstd,Uncertainty Avoidance,Uncertainty Avoidance:scstd,Understanding,Understanding:scstd,stds,scstds
14185,Lori Norris,1.0,-1,0.7777777777777778,0.0,-0.7777777777777778,1.4142135623730951,0.5555555555555556,0.0,0.1111111111111111,-1,0.45454545454545453,0.0,-0.1111111111111111,-1,0.3333333333333333,-1,0.3333333333333333,-1,0.3333333333333333,-1,1.0,-1,0.7777777777777778,-1,0.8,-1,0.3333333333333333,-1,0.3333333333333333,-1,0.1111111111111111,-1,0.5555555555555556,0.0,0.7365864700622027,0.282842712474619
10454,Lori Norris,1.0,-1,-0.1111111111111111,0.0,-1.0,-1,0.7777777777777778,-1,0.1111111111111111,-1,0.45454545454545453,0.0,0.5555555555555556,0.0,0.3333333333333333,-1,0.3333333333333333,-1,0.5555555555555556,-1,0.8181818181818182,-1,0.7777777777777778,-1,0.6,-1,0.3333333333333333,-1,0.3333333333333333,-1,0.1111111111111111,-1,1.0,-1,0.7022576949652884,0.0
6216,Lori Norris,0.7777777777777778,-1,0.1111111111111111,-1,-0.6666666666666666,1.699673171197595,0.6666666666666666,0.5,0.1111111111111111,-1,0.45454545454545453,0.0,0.5555555555555556,0.0,0.3333333333333333,-1,0.3333333333333333,-1,0.5555555555555556,-1,0.8181818181818182,-1,0.7777777777777778,-1,0.6,-1,0.3333333333333333,-1,0.3333333333333333,-1,0.1111111111111111,-1,1.0,-1,0.780689067514308,0.5499182927993987
1975,Lori Norris,0.7777777777777778,-1,0.5555555555555556,1.8856180831641267,-0.7777777777777778,2.0,1.0,-1,0.1111111111111111,-1,0.45454545454545453,0.0,0.3333333333333333,1.8856180831641267,0.5555555555555556,2.0,0.3333333333333333,-1,0.3333333333333333,-1,1.0,-1,0.7777777777777778,-1,0.6,-1,0.3333333333333333,-1,0.3333333333333333,-1,0.1111111111111111,-1,1.0,-1,0.7024095089688647,1.5542472332656507
10605,Lori Norris,0.7777777777777778,-1,0.5555555555555556,-1,-0.6666666666666666,1.699673171197595,0.7777777777777778,-1,-0.2222222222222222,0.4714045207910317,0.8181818181818182,-1,-0.1111111111111111,1.8856180831641267,0.1111111111111111,0.0,0.3333333333333333,-1,0.1111111111111111,0.0,1.0,-1,0.7777777777777778,-1,0.6,-1,0.3333333333333333,-1,0.5555555555555556,-1,0.1111111111111111,-1,1.0,-1,0.7274881706305008,0.8113391550305508
6188,Lori Norris,1.0,-1,0.5555555555555556,-1,-0.7777777777777778,2.0,0.7777777777777778,-1,0.1111111111111111,-1,0.6363636363636364,-1,0.3333333333333333,1.8856180831641267,0.7777777777777778,-1,0.3333333333333333,-1,0.5555555555555556,-1,1.0,-1,0.7777777777777778,-1,0.6,-1,0.3333333333333333,-1,0.5555555555555556,-1,-0.1111111111111111,2.0,1.0,-1,0.6703545895678825,1.9618726943880425
4752,Lori Norris,0.5555555555555556,0.0,0.3333333333333333,2.0,-0.2222222222222222,0.4714045207910317,0.7777777777777778,-1,0.3333333333333333,2.0,0.45454545454545453,0.0,0.3333333333333333,1.8856180831641267,0.3333333333333333,-1,0.3333333333333333,-1,0.5555555555555556,-1,0.7272727272727273,0.5,0.7777777777777778,-1,0.2,0.0,-0.1111111111111111,0.0,0.3333333333333333,-1,-0.3333333333333333,-1,1.0,-1,0.8186382017227395,0.761891400439462
3402,Lori Norris,1.0,-1,0.3333333333333333,2.0,-0.8888888888888888,1.5,0.5555555555555556,0.0,-0.1111111111111111,0.0,0.45454545454545453,0.0,0.1111111111111111,2.0,0.5555555555555556,-1,0.3333333333333333,-1,0.5555555555555556,-1,0.8181818181818182,-1,0.7777777777777778,-1,0.8,-1,0.3333333333333333,-1,0.3333333333333333,-1,-0.1111111111111111,2.0,1.0,-1,0.7209170913626851,1.0714285714285714
1025,Lori Norris,0.7777777777777778,-1,0.3333333333333333,-1,-0.7777777777777778,2.0,0.7777777777777778,-1,0.3333333333333333,-1,0.8181818181818182,-1,0.3333333333333333,1.8856180831641267,0.3333333333333333,-1,0.3333333333333333,-1,0.5555555555555556,-1,1.0,-1,0.7777777777777778,-1,0.6,-1,0.3333333333333333,-1,0.3333333333333333,-1,-0.1111111111111111,2.0,0.7777777777777778,-1,0.7613298282474743,1.9618726943880425
428,Lori Norris,0.5555555555555556,0.0,0.3333333333333333,-1,-0.5555555555555556,1.8856180831641267,0.7777777777777778,-1,0.3333333333333333,2.0,0.45454545454545453,0.0,0.3333333333333333,-1,0.5555555555555556,-1,0.3333333333333333,-1,0.3333333333333333,-1,1.0,-1,0.5555555555555556,-1,0.6,-1,0.3333333333333333,-1,0.5555555555555556,-1,0.1111111111111111,-1,1.0,-1,0.7721954258701608,0.9714045207910317
14351,Lori Norris,1.0,-1,0.3333333333333333,2.0,-0.7777777777777778,2.0,0.7777777777777778,-1,-0.1111111111111111,0.0,0.6363636363636364,-1,0.1111111111111111,-1,0.5555555555555556,-1,0.3333333333333333,-1,0.5555555555555556,-1,1.0,-1,0.7777777777777778,-1,0.8,-1,0.3333333333333333,-1,0.3333333333333333,-1,-0.1111111111111111,2.0,1.0,-1,0.6866250749351862,1.5
2965,Lori Norris,1.0,-1,0.3333333333333333,2.0,-0.8888888888888888,1.5,0.7777777777777778,-1,0.1111111111111111,-1,0.6363636363636364,-1,-0.1111111111111111,-1,0.5555555555555556,-1,0.3333333333333333,-1,0.5555555555555556,-1,1.0,-1,0.7777777777777778,-1,0.6,-1,0.3333333333333333,-1,0.3333333333333333,-1,-0.1111111111111111,-1,1.0,-1,0.6799033290218125,1.75
